,ID,Name,Market,Category,Capital,PER,EPS,ROE,PBR,BPS,Group_PER,Revenue,Operating_Income,Net_Income,Dividend,Debt,Debt_continuous,Retention,Retention_Continuous,Open,High,Low,Close,DaytoDay,Volume,Highest_Price,Highest_Date,update_date,Group
86,1745,SK네트웍스우,KOSPI,복합기업,86,12.63,-72,4.64,0.5,10056,7.7,29067,213,-199,0.17,293.93,2,252.63,1,72400,75300,72400,75300,1800,155,132000,2020-07-02,2022-05-13 6:43,0
87,1750,한양증권,KOSPI,증권,1642,2.62,913,20.28,0.48,32750,3.26,2166,194,121,5.73,277.8,4,553.21,5,12900,13100,12750,12900,0,15877,20000,2021-09-02,2022-05-13 6:43,0
88,1755,한양증권우,KOSPI,증권,99,2.62,913,20.28,0.48,32750,3.26,2166,194,121,4.9,277.8,4,553.21,5,18300,19600,18300,18950,600,71,28300,2020-10-23,2022-05-13 6:43,0
89,1770,SHD,KOSPI,철강,360,6.28,1938,15.4,0.9,33420,4.1,295,22,24,0.33,74.96,2,571.29,5,28500,29600,28150,29600,600,11959,35300,2021-04-12,2022-05-13 6:43,0
90,1790,대한제당,KOSPI,식품,4095,14.4,-2,4.08,0.57,5313,11.83,3418,31,-2,3.64,131.28,2,714.06,1,4565,4750,4535,4565,80,5157524,6270,2022-05-03,2022-05-13 6:43,0
91,1795,대한제당우,KOSPI,식품,269,14.4,-2,4.08,0.57,5313,11.83,3418,31,-2,3.6,131.28,2,714.06,1,4330,4380,4130,4145,230,737608,6760,2021-05-06,2022-05-13 6:43,0
92,1800,오리온홀딩스,KOSPI,식품,8864,11.62,348,4.23,0.46,34867,11.83,6504,867,615,4.08,28.18,1,6285.97,4,13950,14250,13800,14150,300,89173,18150,2019-11-04,2022-05-13 6:43,0
93,1810,무림SP,KOSDAQ,종이와목재,748,16.91,-119,2.02,0.34,9520,28.45,351,-17,-27,0.78,45.54,1,1664.99,1,3345,3425,3345,3380,10,165020,4770,2021-01-20,2022-05-13 6:43,0
94,1820,삼화콘덴서,KOSPI,전기제품,5260,22.01,-18,15.15,3.06,19654,71.87,595,4,-2,0.83,32.7,3,1746.33,1,49900,51000,49900,50600,700,29152,72300,2021-01-26,2022-05-13 6:43,0
95,1880,DL건설,KOSPI,건설,5370,3.6,2017,19.95,0.66,41105,7.5,6342,596,470,2.76,74.3,1,722.13,5,24750,25000,24000,24350,600,45622,38500,2021-01-13,2022-05-13 6:44,0
